=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【囥】	kooung213	藏,收藏,藏匿▷铰刀～{底呢,底所}?(剪刀收藏在什么地方?)|快～起去,无乞侬看见（快藏起来,别被人瞧见）。|蜀侬～,百侬讨〈谚〉,(一个人藏的东西,很多人来找也找不到)。
【睏】	kooung213	睡▷～蜀股眠(睡一觉)|去～(去睡觉)
【龃】	ke55	啃▷～骨骨(啃骨头)|～蔗(啃甘蔗)。
【溪】	ke55	①蠢,土气▷野～(很蠢;很土气)。②土老冒,傻瓜,土佬儿▷伊是～(他是个土佬儿)。也说[溪猪]、[溪滑]。
【溪滑】	ke55 gouk5	①一种生活在溪涧中的大鱼,浑身滑溜。②同[溪]②。
【溪水】	ke53 jui33	洪水,大水▷做～(发洪水)。
【溪水天】	ke21 ju21 lieng55	每年春季发洪水阴凉,潮源的天气。
【溪猪】	ke55 ly55	同[溪]②。
【快脆】	ke53 jui213	形容动作干脆利落,干得顺当▷伊做事计真～,两下就做完了(他于活儿干脆利落,一会儿就干完了)。
【快世】	ke53 lie213	为什么,为何▷汝～{总款,这样款}讲(你为什么这么说)|汝～行{只,这}{般,满}快(你为什么走得这么快)?
【快活囝】	ke21 ua53 giang33	富家子弟,一向生活舒服的人。
【柿】	kei242	柿子。
【尅宾颁】	keik21 bing55 mang55	形容非常拥挤▷礼拜日街中～(星期天街上非常拥挤)。
【挈】	keik5	(介词)用,以▷～毛笔写(用毛笔写)～骹踢(用脚賜)。
【犬】	keing33	狗。也说[犬囝]。
【犬吠】	keing33 bui242	①狗叫。②说毫无根据的话〈詈〉▷莫听伊～(别听他一派胡言)。
【大角】	keing55 gooyk24	公狗。也说[犬港]。
【犬港】	keing21 keoyng33	同[犬角]
【犬母】	keing24 mo33	①母狗。②淫妇〈詈〉。
【犬母货】	keing21 mo55 huo213	淫妇,臭婆娘,贱货〈詈〉。
【犬尾草】	keing21 mui24 jau33	狗尾草。
【犬屎】	keing24 nai33	狗屎,喻指无能的人或写得极差的文章。
【犬屎成拉长】	keing24 nai33 siang55 na55 loung53	形容讲话或文章又臭又长。
【犬头梨】	keing24 nau33 li53	本地出产的一种梨,质粗汁少。
【犬歞】	keing55 ngang242	傻,傻瓜,蠢货〈詈〉。
【犬囝】	keing24 ngiang33	同[犬]。
【犬囝囝】	keing21 ngiang24 ngiang33	小狗儿。
【犬囝货】	keing21 ngiang55 nguo213	诟骂妇女〈詈〉。
【犬豚囝】	keing24 noung33 ngiang33	狗崽子。
【𣪟】	ke33	土气,乡气,呆头呆脑▷伊乍趁乡下来,野～(他刚从农村来,呆头呆脑的)
【毃】	ke33	扑克牌中的“百搭”,取自英语“ joker”的后音节译音。
【抾】	ke33	扔,丢,丢弃▷～石头母(扔石子儿)|～野远(扔得很远)。
【乞】	keoyk24	①给,给予▷～我两本书。②求取,抱养〈孩子)▷伊老妈{𫧃,儥}养,去年暝去～蜀隻囝(他妻子不会生孩子,去年去抱养了一个儿子)。③(介)被▷～侬掏去(被别人拿去了)|～先生搦骂(被老师批评了)。④(介)为▷～我倾蜀杯开水(给我倒一杯开水)。
【壳石】	keoyk21 suok5	贝壳类食物的总称。
【空】	keoyng55	①洞,眼儿。可直接受数词修饰▷衣装破两～(衣服破了两个洞)|锁匙～(锁匙眼儿)|扣～(扣眼儿)。②饿▷腹佬野～（肚子很饿)。
【空空】	keoyng33 keoyng55	洞,窟窿,眼儿▷墙𠲥有蜀隻～(墙上有个洞）。
【空由骹】	keoyng55 iu55 a55	白白(走一趟)▷讨伊真怀好讨,我～行几头(找他真难找到,我白走了几趟)。
【空由行】	keoyng55 iu55 iang53	没有达到目的地白走▷讨伊伓好讨,行几头都是～(找他很难找到.走了几趟都是白走)。
【空冇心】	keoyng21 mang55 ning55	同[空有]。
【空冇祆】	keoyng21 mang53 ngo33	穿着棉袄但里面没有穿厚实的寒衣▷颂～{𫧃,儥}热着（光穿着一件棉袄,里头空荡荡的不暖和)。
【空寥寥】	keoyng21 nau55 lau55	空空如也,空无一物,空空的▷袋袋底～(口袋里空空如也)|办公厅～,蜀隻侬都无(办公室里空无一人)。
【空嗽】	keoyng53 nau213	咳嗽,干咳。
【空埕】	keoyng55 niang33	没有建筑物的空地▷车就停后～𠲥(车子就停放在后面的空地上)。
【空空手】	keoyng21 ngeoyng53 jiu33	空着手,多指去作客而没有随带礼物。或指买或拿不到东西▷～做侬客野无味(空着手做客,很不好意思)丨乇买不着,～转来(东西买不到,空着手回来)。
【空空喙】	keoyng21 ngeoyng53 jui33	同[空喙]。
【空心腹】	keoyng21 ning53 mouk24	空腹▷早起头～去跑步(早晨空腹去跑步)。
【空冇】	keoyng53 pang213	①外壳之内空虚无物,虚空▷只兜柱是～其,台中都蛀去(这根柱子是空心的,中心都蛀空了)。②不充实▷看真大头,称𠲥无重其蠛是～其(看上去个头很大,称起来没什么重量的梭子蟹是空壳蟹)。也说[空冇心]。
【腔宽】	keoyng55 kuang55	①说大话〈詈〉▷～,讲无算其(他胡吹,说了也不算的)。②骂人多嘴多舌或说话声音太大〈詈〉。
【虹】	keoyng242	皮肤上呈红色的条状伤痕▷骹腿挖𠲥蜀～(腿上抓得一道一道的〕。也说[虹虹] kyng21keoyng242。
【欹】	ki55	①不垂直,歪斜▷帽戴～～偌（帽子戴得歪歪的)。②斜靠▷楼梯～墙角(梯子斜靠在墙角)。
【欹力】	k'i31lik5	窃笑声。
【锜】	ki53	①锔子连合破裂的陶瓷器等▷硋锅破去,掏～囇(瓷锅破了,拿去锔一下)。②粘附,缠住伲囝～手囇,蜀事{𫧃,儥}做哩(小孩儿缠在手上,一件事都做不来)。
【锜碗担】	ki21 uang55 nang213	锅碗的挑子,旧时的一种行当,走街串巷,为人锔碗,配钥匙,修理小五金器件。
【起价】	ki55 a213	涨价▷最近米复～去了(最近大米又涨价了)。
【起厝】	ki55 cuo213	盖房子.
【起早】	ki24 ja33	①早起▷明旦早着～(明天早晨要早起)。②早晨▷蜀～都是声音(一整个早晨都是闹哄哄的)。|～食{什乇,世乇}?(早晨吃点儿什么?)。也说[起早头]。
【起早头】	ki21 ja21 lau53	同“起早”▷～逢乇都无食就去上班(早晨什么也没吃就上班去了）。
【起早睏暗】	ki24 ja33 oung53 ang242	早起而晚睡,形容辛劳。
【起手】	ki24 jiu33	开始▷天气～热了(天气开始热了)|昨冥乍～做(昨天才开始干)。
【起头】	ki21 lau53	起先,开头▷～我伓去,遘尾乍答应也去(我起先不愿去,后来才答应也去)|万事～难(万事开头难)。
【起头先】	ki24 lau55 leing55	同[起头]。
【起碇】	ki55 leing213	起锚。
【起身】	ki21 ling55	动身▷伊乜候～(他什么时候动身)?
【起动】	ki55 looyng242	劳驾▷我有蜀桩事计想～汝(我有件事要劳驾您)。②在别人为自己做了某事之后道谢用语～,～(劳驾,劳驾)|者事计野～汝(这件事非常麻烦您)。
【起马】	ki24 ma33	①开始(动手)▷汝准备{什乇,世乇}{辰候,前后}～(你准备什么时候开始干)。
【起马酥】	ki21 ma21 lu55	一种糕饼,把油炸的短面条用糖粘合起来,切成方块儿。北方叫“薩其马”。
【起五更早】	ki21 ngu21 ang53 ja33	天快亮时,起个大早▷～告告叫做{什乇,世乇}(天没大亮大喊大叫干什么)?
【起花】	ki21 ua55	①指称杆上第一个星所标示的重量。②买卖中最起码的交易额。
【起火】	ki24 ui33	(在炉灶里）生火▷六点半乍转来～煮饭(六点半才回来生火做饭)。
【齿齿】	ki33 ki33	扒子、齿轮之类的齿。
【齿锄】	ki21 ly53	齿形锄头。
【柿润】	ki53 nooyng213	软柿子。
【柿丸】	ki55 uong53	风干了的柿子。
【喫亏】	kik21 kui55	①痛苦,难受▷{底呢,底所}～(哪儿不舒服)|只两日侬真～(这两天人很难受)。②艰难,难▷日子过𠲥真～(日子过得很艰难)|者厝{只,这}{般,满}热,夏天野～过(这房子这么热,夏天很难熬)。
【㽺】	kik5	形容萎缩不申的样子,常用于指生物体没有正常地发育长大▷者果子～去(这些水果长不大了)|包炊～去(包子蒸得不松不暄)|侬生乌乌～～势(人长得黑黑瘦瘦小小的)。
【唧囝】	kik33 giang33	小汽艇。
【奇】	kia55	①单数,与“双”相对。②(量)只，只用于给应成双使用的东西计量|两～是蜀双(两只是一双)|两～鞋(两只鞋)|十～箸(十支筷子)。
【欺】	kia55	欺负▷无～侬嘛（别欺负人嘛)。
【骑】	kia53	跨,跨过▷趁伊头～过去(张开腿从他头上跨过去)丨～墙头帽（两腿跨骑在墙头）
【骑马囝】	kia21 ma24 (ma53) iang33	粗俗的詈词,类似北方的“兔崽子”。
【𢩅】	kiak24	夹,钳▷手指～蜀下(手指头被夹了一下)。②挤,挤压▷包包里势有番柿，伓通～爆去(包儿里有西红柿,别叫挤烂了)。③压，压制▷伊着单位乞领导～野狠〔他在单位里被领导压制得很厉害)。
【隙】	kiak24	①沟堑▷田～(田园中的畦堑)。②喻指一生命运的中难渡的关口▷六十岁是蜀～(60地岁是人生中的一个关口)
=============PAGESTART=171,PAGEEND=180
【䀹】	kiak24	照（相），拍|而摄▷～相（照相）|～电影（拍电影）。
【䀹相】	kiak24 suong213	照相。
【䀹相店】	kiak21 suong53 naing213	照相馆。也说［相店］suong53naing213。
【䀹相机】	kiak21 suong55 ngi55	照相机。
【屐屐板】	kiak21 kia53 being33	响板，竹板▷拍～（打竹板）。
【屐屐糖】	kiak21 kiak21 toung53	一种块状麦芽糖，小贩用凿子凿成小块售给儿童。
【恰】	kiak5	掺合，搭配掺杂▷做糖粿秫米着～仂囝饭米（蒸年糕，糯米中要掺合一些籼米）|好煤呆煤～𠲥烧（好的煤和坏的煤搭配着烧）|只件衣裳～色～真好（这件衣服的颜色搭配得很好）。
【骑马】	kie33 ma33	妇女使用月经带的委婉说法。
【骑马带】	kie2ma44lai213	月经带〈讳〉。
【崎】	kie213	①竖立▷～起去（竖起来）。②陡▷楼梯真～，行着细腻（搂梯很陡，走着要小心）|只幢山野～（这座山很陡）。
【契】	kie213	因托养或拜认而成为亲属的；义▷～郎罢（义父）|～囝（义子）|～诸侬囝（义女）。
【契弟】	kie53 la242	①男性同性恋者，恋童。②淫乱之事▷做～（干淫乱之事）。
【徛】	kie242	站，立▷～𠲥（站着）|～起去（站起来）|～岗（站岗）。
【徛裡】	kie53 die33	谦虚，留有余地▷伊真～（他很谦逊）|后生团讲话着～仂囝（年轻人说话要谦虚一点儿）。
【徛紧】	kie53 ging33	团结（对外）▷兄弟哥着～（兄弟之间要团结对外）。
【徛岗】	kie55 goung55	站岗。
【徛车】	kie55 jia55	让婴儿站立其中的圆形或方形围栏。旧时多用竹或木制作，幼儿在车内活动，可防跌倒。
【徛市】	kie53 jei242	干站着，什么事也没干▷蜀日遘暗～时间徛完去（一天到晚，干站着把时间都耗光了）。
【徛庄】	kie55 joung55	麻将牌戏中的庄家因和牌而连续做庄。
【徛骹】	kie55 ka55	立足▷无块～〔无处立足）|～{𫧃,儥}敆（站不住脚）。
【徛地方】	ke21 li55 uong55	受雇佣▷汝着{底呢,底所}～（你在什么地方做事）?
【徛鼎】	kie53 liang33	掌勺▷今旦者菜做野好，底侬～（今天这菜做得很好，是谁掌勺）?
【徛扇】	kie53 lieng213	（盖房时）上大梁。
【徛砧板】	kie21 ding53 meing33	掌案板（的厨师）。
【徛厨】	kie55 luo53	掌勺，主管烹调。
【徛罩】	kie53 lau213	站立时上身俯伏在栏杆或窗台上▷伲囝～栏牢𠲥（小孩儿倾俯在栏干上）。
【徛侬人】	kie44neung44nging53	单人旁（汉字部首）。
【徛和】	kie55 u53	打麻将牌，因违反规则被罚停止抓牌，等待别人和牌。
【缺喙】	kiek5 cui213	豁嘴，兔唇。
【缺哥】	kiek21 go55	兔唇者〈贬〉。
【愆】	kieng55	罪过，过错▷做～（造孽）|～做野重（造了大孽）。
【擒】	kieng53	紧抓住，牵▷索～{𠕆,橂}（绳子牵紧）|～衣裳䙎（抓住衣襟）。
【擒本】	kieng33 buong33	捞本儿，比喻贪得无厌地擭取▷伊真会～（他很会捞）|伊买乇共～蜀样（他买起东西来一味贪多，像捞本儿一样）。
【芡】	kieng213	勾芡，在烹饪时加入淀粉或蛋使汤汁浓稠▷等汤滚慢介～里去（等汤烧开之后再勾芡）。
【芡粉】	kieng53 ngung33	用来勾芡的淀粉，团粉。
【欠数】	kieng53 nou213	欠账，欠债。
【轻】	king55	铝▷～碗（铝碗）|～其锣盆（铝制的脸盆）。
【轻轻】	king55 king55	拟声词，一种打击乐器。
【轻重心】	king33 neoyng55 ning55	偏心，偏爱▷罢奶无能碍有～，丈夫囝诸侬囝都着蜀样（父母不能偏心，男孩儿女孩儿都要一样对待）。
【轻锅】	king33 nguo55	铝锅，钢精锅。
【轻贵】	king53 ngui213	宝贵，多指人▷现刻都是蜀介囝都野～（现在都是独生子，一个个都很宝贵）。
【钳囝】	king33 ngiang33	钳子。
【琴线】	kng21niang213	琴弦。
【禽母】	king33 mo33	传说中的雌性野人，体多毛且肥大，性好淫。
【漀】	king53	从壶里往杯中倒，斟，筛▷～茶（斟茶）|～酒（斟酒）|～开水（倒开水）。
【肯】	king33	（副）努力地，卖力地（干某事）▷我囝{𫧃,儥}～读（我的孩子不努力读书）|伊生意真～做（他做买卖很努力）|～泥有博〈谚〉（努力争取总有希望）。
【敲】	kiu55	敲竹杠▷汝伓做我也无挃汝做，怀使～我（你不干我也不要你来千，不要敲我的竹杠）。也说［敲打］。
【敲打】	kiu53 la33	同［敲］。
【跷骹】	kiu55 ka55	翘脚，引申可以享福了▷～𨄜倒就拔直〈俗〉（伸直腿，躺下，舒展，意为得寸进尺）|伲囝都大了，会～其了（儿子都长大了，可以享福了。）
【虬】	kiu53	卷曲▷伊头发生成是～其（他的头发天生是卷的）。
【虬筋】	kiu55 gyng55	抽筋。
【虬爻】	kiu33 ngau53	木板等因干燥收缩而弯曲。
【糗】	kiu213	①（米饭、面条等因加水太少或火候不到而）入口生硬，不软，不烂▷饭恰～，我嚼{𫧃,儥}瘼（米饭太硬，我嚼不烂）。②（布料、纸张等）挺括，坚韧。也说［糗韧］。
【糗韧】	kiu53 looung242	同［糗］。
【糗饭】	kiu53 wuong242	干饭，煮得较干硬的大米饭。
【窍窍】	kiu21 kiu213	窍门儿，诀窍。
【翘𠚺嚗】	kiu21 la53 wooh24	粗野地破口大骂。也说［翘爹嚗奶］。
【翘爹嚗奶】	kiu55 lia55 bo53 ne33	同［翘𠚺嚗］。
【翘转天】	kiu21 luong21 lieng55	仰面朝天摔倒。也说［翘肘天］。
【翘肘天】	ki21 liu21 lieng55	同［翘转天］。
【翘迎迎】	kiu55 ngiang55 ngiang53	面朝上没加遮盖地▷～倒𠲥（躺着没盖被子）|饭～排桌𠲥（饭不加盖地放在桌上）。
【翘扁担】	kiu21 wieng21 nang55	小儿惊风病，或因长时间啼哭而痉挛或手脚僵硬。
【柯】	ko55	打鼾。
【柯啰】	ko33 lo55	打鼾，鼾声▷伊～真响（他打鼾打得很响）。
【炣】	ko55	久煮，熬▷～肉骨（熬骨头汤）|介～仂𣆯（多熬一会儿）。
【苛勒】	ko55 leik5	刁难，故意使人难受▷伊七处～我（他到处跟我过不去）。
【𣹇】	ko53	①忍受痛苦，苦熬▷介～两年，伲囝成立去就好过去（再熬两年，孩子都长大成人了，日子就好过了）。②（用硬物）顶着▷只块石板会摇，讨蜀块石头姆～囇（这块石板会摇晃，找一块小石块顶住）。③身体撞在硬物上▷腹佬～去（肚子撞伤了）。④搁浅，比喻办事遇阻，问题得不到解决▷调动工作其事计～着人事局（调动工作的事情在人事局受阻）。
【考书】	ko21 jy55	考试。
【去】	koo213	①完蛋，完▷～去（完蛋了）。②捉迷藏时约定开始的口令▷{固,故}未～（还没开始）|～去（开始）。
【去欠】	ko53 ieng213	互欠钱债，对抵而销帐▷汝昨暝输我三块，今旦我欠汝三块，～去（你昨天输我3元，今天我欠你3元，对抵销帐了）。也说［去毕］ko53weik24
【去斋】	ko55 je55	上学。
【去厝】	ko53 juo213	完蛋▷者事计～去了（这事情完蛋了）|只头鸡～去了（这只鸡完蛋了）。
【去年暝】	ko55 lieng55 mang53	去年。
【去学】	ko55 oh5	去向长者告发，投诉▷汝{只,这}{般,满}呆，我着～汝罢奶（你这么坏，我得找我的父母投诉）|～先生讲（去向老师报告）。
【去反】	ko53 waing213	完蛋了▷这事～去了（这事情完蛋了）!
【去积】	ko53 zeik24	消除积食，治疗消化不良。
【鲄囝】	ko53 iang33	一种海产，小鱼干，用做佐料。
【屈】	kouk24	①躲藏▷去～（去躲藏起来）|无块～（无处躲藏）。②（人）处在（什么地方）▷汝～{底呢,底所}等我（你在哪里等我）|我就～厝𠲥（我就呆在家里）。
【磕】	kouk5	①碰，触动▷嚽是别侬寄其乇，伓通去～（这是别人寄存的东西，别去碰）。②敲击▷头乞伊～蜀下（头被他敲一下）。③惹▷只隻伲囝爱啼猫，伓通去～伊（这个孩子爱哭，别去惹她）。
【磕磕】	kouk33 kouk5	木铎、木鱼。
【磕磕糕】	kouk21 kouk21 go55	一种糕饼，质硬。也叫［炒米饼］ca21mi24wiang31。
【糠筛】	koung55 nai55	筛米糠的竹筛子。
【扛死囝】	koung21 si24 iang33	承担别人都不愿承担的任务▷{总款,这样款}事计逢侬都伓做，{俪,㑚}长我去～（这样的事情谁都不愿干，只有我去收拾）。
【睏眠眠】	koung55 ming55 ming53	睡觉儿。
